"dttm","vale1","vole"
"2025-04-03","65.51","208"
"2025-04-03","65.46","112"
"2025-04-03","65.71","244"
"2025-04-03","65.71","0"
"2025-04-03","65.77","450"
"2025-04-03","65.90","159"
"2025-04-03","65.90","92"
"2025-04-03","65.94","185"
"2025-04-03","66.10","259"
"2025-04-03","65.95","10"
"2025-04-03","66.03","24"
"2025-04-03","65.96","1"
"2025-04-03","65.99","1"
"2025-04-03","66.08","70"
"2025-04-03","66.08","100"
"2025-04-03","65.88","201"
"2025-04-03","65.92","116"
"2025-04-03","65.79","519"
"2025-04-03","65.69","33"
"2025-04-03","65.68","1"
"2025-04-03","65.68","0"
"2025-04-03","65.90","4174"
"2025-04-03","65.84","1"
"2025-04-03","65.70","2"
"2025-04-03","65.79","95"
"2025-04-03","65.80","5"
"2025-04-03","65.80","6"
"2025-04-03","65.82","381"
"2025-04-03","65.87","19"
"2025-04-03","65.87","0"
"2025-04-03","65.78","1"
"2025-04-03","65.70","286"
"2025-04-03","65.55","573"
"2025-04-03","65.68","10"
"2025-04-03","65.50","1010"
"2025-04-03","65.40","5818"
"2025-04-03","65.56","211"
"2025-04-03","65.52","16"
"2025-04-03","65.52","36"
"2025-04-03","65.50","81"
"2025-04-03","65.46","1"
"2025-04-03","65.45","1"
"2025-04-03","65.45","0"
"2025-04-03","65.58","9"
"2025-04-03","65.49","1"
"2025-04-03","65.51","13"
"2025-04-03","65.50","160"
"2025-04-03","65.39","400"
"2025-04-03","65.50","30"
"2025-04-03","65.52","94"
"2025-04-03","65.54","50"
"2025-04-03","65.54","498"
"2025-04-03","65.54","0"
"2025-04-03","65.63","1"
"2025-04-03","65.63","0"
"2025-04-03","65.63","0"
"2025-04-03","65.63","0"
"2025-04-03","65.63","0"
"2025-04-03","65.63","0"
"2025-04-03","65.80","11"
"2025-04-03","65.73","2"
"2025-04-03","65.73","0"
"2025-04-03","65.74","728"
"2025-04-03","65.66","1"
"2025-04-03","65.66","0"
"2025-04-03","65.65","35"
"2025-04-03","65.80","41"
"2025-04-03","65.73","2"
"2025-04-03","65.82","3803"
"2025-04-03","65.77","12"
"2025-04-03","65.79","1"
"2025-04-03","65.85","68"
"2025-04-03","65.85","3338"
"2025-04-03","65.85","8"
"2025-04-03","65.79","12"
"2025-04-03","65.80","12"
"2025-04-03","65.74","101"
"2025-04-03","65.74","0"
"2025-04-03","65.74","0"
"2025-04-03","65.74","0"
"2025-04-03","65.84","1"
"2025-04-03","65.84","0"
"2025-04-03","65.84","100"
"2025-04-03","65.82","1"
"2025-04-03","65.82","100"
"2025-04-03","65.82","76"
"2025-04-03","65.82","2"
"2025-04-03","65.82","4"
"2025-04-03","65.82","50"
"2025-04-03","65.82","0"
"2025-04-03","65.82","20"
"2025-04-03","65.78","13"
"2025-04-03","65.78","0"
"2025-04-03","65.79","20"
"2025-04-03","65.82","1"
"2025-04-03","65.82","4"
"2025-04-03","65.82","1"
"2025-04-03","65.82","0"
"2025-04-03","65.82","0"
"2025-04-03","65.82","0"
"2025-04-03","65.81","152"
"2025-04-03","65.81","0"
"2025-04-03","65.70","152"
"2025-04-03","65.82","251"
"2025-04-03","65.82","0"
"2025-04-03","65.82","4"
"2025-04-03","65.82","0"
"2025-04-03","65.82","10"
"2025-04-03","65.82","75"
"2025-04-03","65.80","30"
"2025-04-03","65.80","893"
"2025-04-03","65.78","2"
"2025-04-03","65.80","1"
"2025-04-03","65.53","4352"
"2025-04-03","65.80","4"
"2025-04-03","65.81","1"
"2025-04-03","65.82","124"
"2025-04-03","65.85","50"
"2025-04-03","65.85","0"
"2025-04-03","65.80","1"
"2025-04-03","65.84","31"
"2025-04-03","65.84","0"
"2025-04-03","65.72","1"
"2025-04-03","65.74","29"
"2025-04-03","65.74","0"
"2025-04-03","65.74","306"
"2025-04-03","65.72","459"
"2025-04-03","65.72","0"
"2025-04-03","65.72","0"
"2025-04-03","65.80","50"
"2025-04-03","65.69","212"
"2025-04-03","65.69","0"
"2025-04-03","65.79","5"
"2025-04-03","65.78","1"
"2025-04-03","65.82","30"
"2025-04-03","65.82","50"
"2025-04-03","65.82","2"
"2025-04-03","65.83","15"
"2025-04-03","65.84","2"
"2025-04-03","65.84","0"
"2025-04-03","65.84","0"
"2025-04-03","65.79","14"
"2025-04-03","65.85","7"
"2025-04-03","65.85","1"
"2025-04-03","65.83","1"
"2025-04-03","65.85","86"
"2025-04-03","65.85","10"
"2025-04-03","65.85","0"
"2025-04-03","65.87","308"
"2025-04-03","65.90","31"
"2025-04-03","65.91","6"
"2025-04-03","65.89","12"
"2025-04-03","65.89","31"
"2025-04-03","65.90","10"
"2025-04-03","65.90","0"
"2025-04-03","65.87","100"
"2025-04-03","65.88","10"
"2025-04-03","65.78","290"
"2025-04-03","65.78","0"
"2025-04-03","65.78","0"
"2025-04-03","65.78","0"
"2025-04-03","65.78","0"
"2025-04-03","65.90","20"
